Data,H,|I,Out_Acc,In_Acc,Sol_Time,Model,Warm_Start,Warm_Start_Time,Time_Limit,Rand_State,MIP_Gap,Obj_Val,Obj_Bound,VIS_Calls,VIS_Cuts,VIS_Time,HP_Time,FP_Time,FP_Num_CB,FP_Num_Cuts,Eps,Branch_Type
kr_vs_kp,2,2397,0.518147685,0.523571131,600.333704,SOCT-Benders,None,0,600,89,0.909960159,2397,1255,1129,2748,584.978725,0,,,,,
car,4,1296,0.833333333,0.837191358,600.0218029,OCT-Multivariate,FALSE,0,600,0,1,0,0.141975309,,,,,,,,,
kr_vs_kp,2,2397,0.533166458,0.518564873,600.211803,SOCT-Benders,None,0,600,42,0.928399035,2397,1243,1127,3258,583.6220028,0,,,,,
car,5,1296,0.696759259,0.712191358,600.098176,OCT-Multivariate,FALSE,0,600,138,1,0,0.288580247,,,,,,,,,
kr_vs_kp,2,2397,0.498122653,0.530246141,600.0351801,SOCT-Benders,None,0,600,0,0.885916601,2397,1271,1146,3161,578.7852471,0,,,,,
car,5,1296,0.719907407,0.711419753,600.019052,OCT-Multivariate,FALSE,0,600,15,1,0,0.288580247,,,,,,,,,
kr_vs_kp,3,2397,0.523153942,0.521902378,600.2362471,SOCT-Benders,None,0,600,138,0.916067146,2397,1251,798,2473,576.3505709,0,,,,,
car,5,1296,0.696759259,0.704475309,600.0334811,OCT-Multivariate,FALSE,0,600,89,1,0,0.293981481,,,,,,,,,
kr_vs_kp,3,2397,0.508135169,0.526908636,600.6074789,SOCT-Benders,None,0,600,15,0.897862233,2397,1263,1091,2560,556.8962274,0,,,,,
car,5,1296,0.814814815,0.800925926,600.0776608,OCT-Multivariate,FALSE,0,600,42,1,0,0.191358025,,,,,,,,,
kr_vs_kp,3,2397,0.518147685,0.523571131,600.3373542,SOCT-Benders,None,0,600,89,0.909960159,2397,1255,842,2503,573.1766198,0,,,,,
car,5,1296,0.780092593,0.80787037,600.0724511,OCT-Multivariate,FALSE,0,600,0,1,0,0.19058642,,,,,,,,,
