Data,H,|I|,Out_Acc,In_Acc,Sol_Time,MIP_Gap,Obj_Val,Obj_Bound,Model,HP_Time,HP_Obj,HP_Rank,FP_CB_Time,FP_Num_CB,FP_Cuts,FP_Cuts_per_CB,VIS_CB_Time,VIS_Num_CB,VIS_Cuts,Eps,Time_Limit,Rand_State,Warm_Start,Regularization,Max_Features
climate,2,405,0.9333333333333333,0.908641975308642,11.257222890853882,0.0,405.0,405.0,CUT1,11.113252520561218,linear,|F|-1,0,0,0,0,11.185624355450273,2,1,0,600,15,False,None,None
soybean-small,4,35,1.0,0.9714285714285714,0.46709299087524414,0.0,35.0,35.0,CUT1,0.517260367050767,linear,0.5,0,0,0,0,0.425419844686985,2,0,0,600,89,False,None,None
soybean-small,4,35,0.25,0.4,0.4814889430999756,0.0,35.0,35.0,CUT1,0.5635744370520115,linear,0.5,0,0,0,0,0.44895779713988304,2,0,0,600,42,False,None,None
soybean-small,4,35,1.0,1.0,0.4869999885559082,0.0,35.0,35.0,CUT1,0.560006769374013,linear,0.5,0,0,0,0,0.4499349035322666,2,0,0,600,0,False,None,None
soybean-small,5,35,0.4166666666666667,0.8285714285714286,0.6282930374145508,0.0,35.0,35.0,CUT1,0.7279232200235128,linear,0.5,0,0,0,0,0.5628606993705034,2,0,0,600,138,False,None,None
hayes-roth,4,99,0.3939393939393939,0.3838383838383838,2.763245105743408,0.0,99.0,99.0,CUT1,2.7111679445952177,linear,|F|-1,0,0,0,0,2.657519331201911,2,1,0,600,138,False,None,None
soybean-small,5,35,0.75,0.8571428571428571,0.6000499725341797,0.0,35.0,35.0,CUT1,0.7042128313332796,linear,0.5,0,0,0,0,0.5319910123944283,2,0,0,600,15,False,None,None
soybean-small,5,35,0.6666666666666666,0.8,0.5771119594573975,0.0,35.0,35.0,CUT1,0.646799698472023,linear,0.5,0,0,0,0,0.5047701764851809,2,0,0,600,89,False,None,None
soybean-small,5,35,0.9166666666666666,1.0,0.5715000629425049,0.0,35.0,35.0,CUT1,0.6277684308588505,linear,0.5,0,0,0,0,0.5048253834247589,2,0,0,600,42,False,None,None
soybean-small,5,35,1.0,0.7714285714285715,0.5733938217163086,0.0,35.0,35.0,CUT1,0.6275902986526489,linear,0.5,0,0,0,0,0.5032779108732939,2,0,0,600,0,False,None,None
breast-cancer,2,214,0.5972222222222222,0.7523364485981309,6.956015110015869,0.0,214.0,214.0,CUT1,7.454977210611105,linear,|F|-1,0,0,0,0,6.923444606363773,2,1,0,600,0,False,None,None
hayes-roth,4,99,0.3333333333333333,0.40404040404040403,2.881852865219116,0.0,99.0,99.0,CUT1,2.8302452228963375,linear,|F|-1,0,0,0,0,2.783647056668997,2,0,0,600,15,False,None,None
soybean-small,2,35,0.9166666666666666,0.9142857142857143,0.38747715950012207,0.0,35.0,35.0,CUT1,0.4593839719891548,linear,0.25,0,0,0,0,0.37965934351086617,2,0,0,600,138,False,None,None
soybean-small,2,35,0.8333333333333334,0.7714285714285715,0.40486884117126465,0.0,35.0,35.0,CUT1,0.47889963164925575,linear,0.25,0,0,0,0,0.39775719307363033,2,0,0,600,15,False,None,None
soybean-small,2,35,1.0,1.0,0.39543795585632324,0.0,35.0,35.0,CUT1,0.4690963104367256,linear,0.25,0,0,0,0,0.38882758654654026,2,0,0,600,89,False,None,None
soybean-small,2,35,0.9166666666666666,0.9142857142857143,0.3911590576171875,0.0,35.0,35.0,CUT1,0.4628360029309988,linear,0.25,0,0,0,0,0.38345777429640293,2,0,0,600,42,False,None,None
soybean-small,2,35,0.6666666666666666,0.9428571428571428,0.40235304832458496,0.0,35.0,35.0,CUT1,0.47597983852028847,linear,0.25,0,0,0,0,0.3953743129968643,2,0,0,600,0,False,None,None
soybean-small,3,35,1.0,0.9714285714285714,0.4388089179992676,0.0,35.0,35.0,CUT1,0.5260151419788599,linear,0.25,0,0,0,0,0.42492838203907013,2,0,0,600,138,False,None,None
soybean-small,3,35,1.0,0.9714285714285714,0.43949294090270996,0.0,35.0,35.0,CUT1,0.48612395487725735,linear,0.25,0,0,0,0,0.4263912867754698,2,0,0,600,15,False,None,None
soybean-small,3,35,1.0,1.0,0.4060060977935791,0.0,35.0,35.0,CUT1,0.4732129592448473,linear,0.25,0,0,0,0,0.39018676802515984,2,0,0,600,89,False,None,None
